bills_included,description,details_url,first_published_date,floor_plan,furnished_state,latitude,listing_id,longitude,num_bathrooms,num_bedrooms,num_recepts,outcode,property_type,rent_price,shared_occu,student,rented,room_pm
0.0,"Seven bedroom student property located on Chelsea Road, Bath. Available 1st July 2020.This property is currently undergoing complete renovations, photos shown are of what the property was like previously and are for illustrative purposes only.The property has seven bedrooms in total, all rooms have double beds, wardrobe, desk, chair and other storage units. Kitchen is fitted with two cookers, two hobs, fridge/freezers, washing machine and dryer. There is a rear courtyard as well.Available 1st July 2020.",https://www.zoopla.co.uk/to-rent/details/53267805?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-07 16:37:46,1,furnished,51.385265000000004,53267805,-2.388963,0,7,0,BA1,Missing,4375,0,1,1,625.0
0.0,"Summary*student property*Available from August 2020A large 6 double bedroom furnished student house, situated on Charlotte street, just afew minutes walk to the city centre and just off Queens Sq.Property has been redecorated and re-carpeted throughout and offers 6 very large furnished double rooms close to the city centreThe property is available for August 2020description*student property*Available from August 2020A large 6 double bedroom furnished student house, situated on Charlotte street, just afew minutes walk to the city centre and just off Queens Sq.Property has been redecorated and re-carpeted throughout and offers 6 very large furnished double rooms close to the city centreThe property is available for August 2020While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations.(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy.(2) These particulars do not constitute part or all of an offer or contract.(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive.(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy.(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available.(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.",https://www.zoopla.co.uk/to-rent/details/41597306?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2020-01-03 13:09:00,1,furnished,51.383175,41597306,-2.366572,0,6,0,BA1,Missing,3800,0,1,0,633.0
0.0,"Property Reference: 612372.Spacious self-contained furnished second floor Georgian flat in the city center with all amenities and transport links on your doorstep, this 5 double bedroom hmo all with on-suite kitchen areas with sink, fridge, microwave and is licensed for up to 6 persons sharing 2 bathrooms, Kitchen/Dining room with all white goods (freezer, washing machine and tumble dryer) The flat is available from 1/7/2020-30/6/2021 only to students in full time education with guarantors and benefits from gas central heating, fire alarm and 2 fire escapes, the bedrooms all have locks and are furnished with large desks, double beds and wardrobes.Summary & Exclusions:- Rent Amount: £3,600.00 per month (£830.77 per week)- Deposit / Bond: £4,000.00- 6 Bedrooms- 2 Bathrooms- Property comes furnished- Available to move in from 01 July, 2020- Minimum tenancy term is 12 months- Maximum number of tenants is 6- Students only.- No Pets, sorry- No Smokers- Not Suitable for Families / Children- Bills not included- No Parking Available- No Garden Access- EPC Rating: B If calling, please quote reference: 612372 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference six hundred and twelve thousand three hundred and seventy-two",https://www.zoopla.co.uk/to-rent/details/53195825?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-10-31 11:29:25,1,furnished,51.37995,53195825,-2.357925,2,6,0,BA1,Flats,3600,0,1,0,600.0
0.0,"Very spacious 6 bedrooms (2 with en suites) plus further shower room, furnished house with fitted kitchen and 2 reception rooms.Ideal for professional sharers or students. Available from 28th July 2020.  Very spacious 6 bedrooms (2 with en suites) plus further shower room, furnished house with fitted kitchen and 2 reception rooms.The property is set over 4 floors and has many original features to include exposed wooden floors.Great location to town. Ideal for professional sharers or students. Available from 28th July.",https://www.zoopla.co.uk/to-rent/details/53695173?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-11 11:53:23,0,furnished,51.390803999999996,53695173,-2.355768,3,6,2,BA1,Terrace,3500,0,1,0,583.0
0.0,"Six bedroom student house located on the Upper Bristol Road, near to Windsor Bridge. The house is well decorated and has the added benefit of having three parking spaces.All rooms have 4ft beds and have their own wash basin. On the ground floor there are two bedrooms and four on the first floor. There is a living room, kitchen and a room for drying clothes and storing of additional fridge freezers. Upstairs there are two bathrooms, one with a shower over the bath and the other with a shower.At the rear of the property there is parking for three cars. The house is well maintained by the landlords and has modern furnishings.Please call us to arrange a viewing.NoticeAll photographs are provided for guidance only.",https://www.zoopla.co.uk/to-rent/details/53408355?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-21 13:17:23,0,unfurnished,51.3842,53408355,-2.382732,1,6,1,BA1,Terrace,3300,0,1,1,550.0
0.0,"This six bedroom, two bathroom student house is well decorated and maintained and is situated on the edge of the city centre close to a supermarket and bus routes into two.Apart from being fully furnished, each room has its own wash basin. On the ground floor there is two bedrooms, bathroom, kitchen and living room. Upstairs there is a further four bedrooms and another bathroom. The house is ideal for students at both the University of Bath and Bath Spa University.The property is available from July 2020 and an early viewing is recommended. Please call us to arrange this viewing.NoticeAll photographs are provided for guidance only.",https://www.zoopla.co.uk/to-rent/details/53408358?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-21 13:17:24,0,furnished,51.38466,53408358,-2.382621,2,6,1,BA1,Terrace,3300,0,1,0,550.0
0.0,"Property Reference: 668147.Presenting a desirable 5 double bedroom self-contained student maisonette in excellent location, close to the famous Royal Crescent, just 10 minutes walk into the City Centre and a road away from local shops and bus routes. The property includes a large open plan kitchen lounge. Separate bathroom with shower over bath.Offered furnished with white goods to include an electric oven and hob, washer dryer and free-standing fridge freezer.Gas central heating. No pets or smokers. Strictly no bike storage in the building. Quarterly rental payments.Deposit: £600.00 per personfixed term contract from 7th July 2020 to 30th June 2021rent: £7200 per person per annumpayable: Quarterly in advance on 1 Jul 20,1 Oct 20,1 Jan 21 and 1 Apr 21 by equal installments of £1800.00Summary & Exclusions:- Rent Amount: £3,000.00 per month (£692.31 per week)- Deposit / Bond: £3,000.00- 5 Bedrooms- 1 Bathrooms- Property comes furnished- Available to move in from 07 July, 2020- Minimum tenancy term is 12 months- Maximum number of tenants is 5- Students only.- No Pets, sorry- No Smokers- Not Suitable for Families / Children- Bills not included- No Parking Available- No Garden Access- EPC Rating: D If calling, please quote reference: 668147 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference six hundred and sixty-eight thousand one hundred and forty-seven",https://www.zoopla.co.uk/to-rent/details/53353121?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-15 17:18:04,1,furnished,51.38843,53353121,-2.364329,1,5,0,BA1,Flats,3000,0,1,0,600.0
0.0,"Please quote reference 39977 when enquiring about this propertyA very well maintained and spacious 5 double bedroom student house situated within a few minutes of university buses and local shops.Gas central heating and double glazing, parking. Situated within walking distance of Bath Spa new Locksbrook Campus for Artists and designers.A high quality property that is well maintained, more of a home than a house share.",https://www.zoopla.co.uk/to-rent/details/53183508?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-10-30 10:47:14,1,furnished,51.38326,53183508,-2.3932860000000002,0,5,0,BA1,Missing,2985,1,1,0,597.0
0.0,"Calling all students, 5 double bedroom.This 5 double bedroom house is spread over three floors and comes with two shower rooms and an open plan kitchen/lounge. Each bedroom is a good sized double and is equipped with wardrobes and desks. The shower rooms are located on the ground and top floor, with the kitchen/lounge located in the middle for easy cooking and socialising.A short level stroll into town, with good links to University. Early viewing recommended.Available from 15th July 2020 until the 30th June 2021.  Calling all students, 5 double bedroom.This 5 double bedroom house is spread over three floors and comes with two shower rooms and an open plan kitchen/lounge. Each bedroom is a good sized double and is equipped with wardrobes and desks. The shower rooms are located on the ground and top floor, with the kitchen/lounge located in the middle for easy cooking and socialising.A short level stroll into town, with good links to University. Early viewing recommended.Available from 15th July 2020 until the 30th June 2021.",https://www.zoopla.co.uk/to-rent/details/53578341?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-03 16:40:18,0,furnished,51.384533000000005,53578341,-2.373984,2,5,1,BA1,Terrace,2850,0,1,0,570.0
0.0,"Calling all students, 5 double bedroom houseLevel walk into town with good links to University. Available from 15th July 2020 for until the 30th June 2021.  This 5 double bedroom house is spread over three floors and comes with two shower rooms and an open plan kitchen/lounge. Each bedroom is a good sized double and is equipped with wardrobes and desks. The fitted shower rooms are located on the ground and top floor, with the kitchen/lounge located in the middle for easy cooking and socialising.A short level stroll into town, with good links to University. Early viewing recommended.Available from 15th July 2020 until the 30th June 2021.",https://www.zoopla.co.uk/to-rent/details/53578260?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-03 16:35:28,0,furnished,51.384518,53578260,-2.373912,2,5,1,BA1,Terrace,2850,0,1,0,570.0
